中文句子,泰文,羅馬拼音,課文
我會去附近的商場買。,ฉันจะไปซื้อที่ห้างใกล้ๆค่ะ,chan ja pai seu thi hang klai klai kha,3
你會買什麼？,คุณจะซื้ออะไรครับ,khun ja seu a rai khrap,3
我會買泰國小吃。,ฉันจะซื้อขนมไทยค่ะ,chan ja seu kha nom thai kha,3
你會怎樣去。,คุณจะไปยังไงครับ,khun ja pai yang ngai khrap,3
你好,สวัสดี,sa wat dii,1
你叫咩名,คุณชื่ออะไร,khun cheu a rai,1
我叫阿琳,ฉันชื่ออาหลิน,chan cheu a lin,1
我會去工作,ฉันจะไปทำงาน,chan ja pai tham ngaan,1
我會睇電視,ฉันจะดูทีวี,chan ja du thi wi,1
你好嗎？,สบายดีไหม,sa bai di mai,1
很好。,สบายดี,sa bai di,1
多謝。,ขอบคุณค่ะ,khop khun kha,1
你呢？,คุณล่ะ,khun la,1
你會去哪裏？,คุณจะไปไหน,khun ja bai nai,1
我係學生,ฉันเป็นนักเรียน,chan bpen nak rian,1
我唔舒服,ฉันไม่สบาย,chan mai sa bai,1
手錶,นาฬิกา,na li ga,3
泰銖,บาท,baht,2
多少錢？,เท่าไหร่,tao rai,2
我將會去商場購物,ฉันจะไปซื้อของที่ห้าง,chan ja pai seu kong thi hang,2
我將會回家,ผมจะกลับบ้าน,phom ja klap ban,2
我也很好,ฉันก็สบายดี,chan ko sa bai di,2
對不起／抱歉,ขอโทษ,kho thot,2
多謝,ขอบคุณ,khop khun,2
不用客氣／不要緊,ไม่เป็นไร,mai pen rai,2
下次見／再見,พบกันใหม่,phop kan mai,2
不說,ไม่บอก,mai bok,2
為甚麼不說？,ทำไมไม่บอก,tham mai mai bok,1
已經說了,บอกแล้ว,bok laew,1
不想說,ไม่อยากบอก,mai yak bok,1
也可以,ก็ได้,ko dai,1
吃甚麼都可以,กินอะไรก็ได้,gin a rai ko dai,1
去哪裡都可以,ไปไหนก็ได้,pai nai ko dai,1
不去也可以,ไม่ไปก็ได้,mai pai ko dai,1
我想一起吃飯，可以嗎？,ผมอยากทานข้าวกันได้ไหมครับ,phom yak than khao kan dai mai khrap,1
可以。,ได้ค่ะ,dai kha,1
謝謝。,ขอบคุณครับ,khop khun khrap,1
不用客氣。,ไม่เป็นไรค่ะ,mai pen rai kha,1
我先走了。,ไปละครับ,pai la khrap,1
為甚麼？,ทำไมครับ,tham mai khrap,1
你好,สวัสดีค่ะ,sa wat di kha,1
你叫甚麼名字？,คุณชื่ออะไรครับ,khun cheu a rai khrap,1
我叫阿琳，你呢？,ฉันชื่อหลินค่ะ คุณล่ะ,chan cheu lin kha khun la,1
我叫阿宏，很高興認識你,ผมชื่อหวังครับ ยินดีที่ได้รู้จัก,phom cheu wang khrap yin di thi dai ru jak,1
很高興認識你,ยินดีที่ได้รู้จักเช่นกันค่ะ,yin di thi dai ru jak chen kan kha,1
再見,แล้วเจอกัน,lew jer kan,1
你做甚麼工作,คุณทำงานอะไร,khun tham ngan a rai,1
我是老師,ฉันเป็นครู,chan pen khru,1
我是醫生,ผมเป็นหมอ,phom pen mo,1
我會去街市買東西,ฉันจะไปซื้อของที่ตลาด,chan ja pai seu kong thi ta lat,1
我會在家煮飯,ฉันจะทำอาหารที่บ้าน,chan ja tham a han thi ban,1
你會在家做甚麼？,คุณจะทำอะไรที่บ้านครับ,khun ja tham a rai thi ban khrap,1
我將會在家看電視。,ฉันจะดูทีวีที่บ้านค่ะ,chan ja duu thi wi thi ban kha,2
為甚麼你有手信呢？,ทำไมคุณมีของฝากครับ,tam mai khun mi khong fak khrap,2
他買來給我。,เขาซื้อมาให้ผมครับ,khao seu ma hai phom khrap,2
你想一起吃嗎？,คุณอยากทานกับไหมครับ,khun yaak than kan mai khrap,2
不 我不喜歡吃。,ไม่ครับ ผมไม่ชอบทาน/กินครับ,mai khrap phom mai chob than/kin khrap,2
你將會做甚麼,คุณจะทำอะไร,khun ja tham a rai,2
我將會去工作,ผมจะไปทำงาน,phom ja pai tham ngan,2
我會在家看電視,ฉันจะดูทีวีที่บ้าน,chan ja duu thi wi thi ban,2
今天你有空嗎？,วันนี้คุณว่างไหม,wan ni khun wang mai,2
我將會去找朋友。,ผมจะไปหาเพื่อน,phom ja pai ha phʉ̄an,2
今天我們一起吃飯好嗎？,วันนี้เราทานข้าวกันดีไหม,wan ni rao than khao kan di mai,2
我喜歡喝啤酒。,ผมชอบดื่มเบียร์,phom chop deum bia,2
我喜歡吃豬肉。,ผมชอบทานหมู,phom chop than mu,2
玩手機,เล่นมือถือ,len  meu  theu ,2
聽音樂,ฟังเพลง,fang  phleng ,2
看電影,ดูหนัง,du  nang ,2
閱讀書本,อ่านหนังสือ,an  nang  seu ,2
跳舞,เต้น,den,2
爺爺今天有空嗎？,คุณปู่ วันนี้ว่างไหมครับ,khun pu wan ni wang mai khrap,2
有空，為甚麼？,ว่างครับ ทำไมครับ,wang khrap tham mai khrap,2
好的，你想吃甚麼？,ดีครับ คุณอยากทานอะไรครับ,di  khrap khun yak than a rai khrap,2
我們將去酒吧看足球。,เราจะไปดูฟุตบอลที่บาร์ครับ,rao ja pai du fut bon thi ba khrap,2
我也喜歡。,ผมก็ชอบครับ,phom ko chop khrap,2
走吧／一起去吧。,ไปกันครับ,pai kan khrap,2
好的。,ดีครับ,di khrap,2
你想吃甚麼？,คุณอยากทานอะไรครับ,khun yak than a rai khrap,2
我喜歡喝啤酒，你呢？,ผมชอบดื่มเบียร์ครับ คุณล่ะ,phom chop deum bia khrap khun la,2
我將會去朋友家。,ผมจะไปบ้านเพื่อน,phom ja pai ban phʉ̄an,2
你喜歡看足球嗎？,คุณชอบดูฟุตบอลไหม,khun chop du fut bon mai,2
我們一起去吃飯好嗎？,เราไปทานข้าวกันดีไหม,rao pai than khao kan di mai,2
一起去喝咖啡嗎？,ไปดื่มกาแฟกันไหม,pai deum ka fe kan mai,2
今天有空嗎？,วันนี้ว่างไหม,wan ni wang mai,2
我想吃雞。,ผมอยากทานไก่,phom yak than kai,2
我將會和父母吃飯。,ฉันจะทานข้าวกับพ่อแม่,chan ja than khao kap pho me,2
冰淇淋,ไอติม,ai tim ,2
可樂,โค้ก,kok,2
衣服,เสื้อผ้า,seua pha,2
泰式奶茶,ชาไทย,cha tai,2
沒空。,ไม่ว่างค่ะ,mai wang kha,2
我將會回家。,ฉันจะกลับบ้านค่ะ,chan ja klap ban kha,2
我將會跟父母吃飯。,ฉันจะทานข้าวกับพ่อแม่ค่ะ,chan ja than khao kap pho me kha,2
再見。（女說話）,แล้วเจอกันค่ะ,lew jer kan kha,2
沒空,ไม่ว่าง,mai wang,2
去做甚麼？,ไปทำอะไรกันครับ,pai tham a rai kan khrap,2
去一起看電視。,ไปดูทีวีกันครับ,pai du thi wi kan khrap,2
喜歡。,ชอบครับ,chop khrap,1
來一起看吧。,มาดูกันครับ,ma du kan khrap,1
我們在餐廳見面,เราเจอกันที่ร้านอาหาร,rao jer kan thi ran a han,2
現在你在做甚麼？,ตอนนี้คุณทำอะไรอยู่,ton ni khun tham a rai yu,2
今天媽媽會來找我,วันนี้แม่จะมาหาผม,wan ni mae ja' ma ha phom,2
媽媽會來我家煮飯,แม่จะมาทำอาหารที่บ้านผม,mae ja' ma tham a  han thi ban phom,2
我正在喝咖啡。,ผมดื่มกาแฟอยู่ครับ,phom deum ka fe yu kʰrap,2
你想來我家嗎？,คุณอยากมาบ้านผมไหมครับ,khun yak ma ban phom mai kʰrap,2
魚,ปลา,pla ,2
牛肉,เนื้อ,neua ,2
羊肉,เนื้อแกะ,neua kee ,2
老闆／上司,เจ้านาย,jao nai,2
豬肉,หมู,mu ,2
現在你在家嗎,ตอนนี้คุณอยู่บ้านใช่ไหม,don ni khun yu ban chai mai,3
我在圖書館,ฉันอยู่ห้องสมุด,chan yu hong sa mut,3
我在咖啡店,ผมอยู่ร้านกาแฟ,phom yu ran ga fee,3
我將跟朋友去書店,ฉันจะไปร้านหนังสือกับเพื่อน,chan ja pai ran nang seu kap phuean,3
現在你在做甚麼,ตอนนี้คุณทำอะไรอยู่ครับ,dton nIi khun tham à-rai yùu khráp,3
現在我在看書（女）,ตอนนี้ฉันอ่านหนังสืออยู่ค่ะ,dton nIi chǎn àan nǎng-sǔe yùu khâ,3
現在你在家嗎？,ตอนนี้คุณอยู่บ้านใช่ไหมครับ,dton nIi khun yùu bâan châi mái khráp,3
不是，我在圖書館,ไม่ใช่ค่ะ ฉันอยู่ห้องสมุด,"mâi châi khâ, chǎn yùu hâwng sà‑mut",3
我們約在書店見面,จะไปร้านหนังสือกับเพื่อนค่ะ,jà bpai ráan nǎng‑sǔe gàp phûe‑an khâ,3
今晚一起吃飯好嗎,เย็นนี้เราทานข้าวกันได้ไหมครับ,yen nIi rao thaan khâao kan dâai mái khráp,3
可以，我們在書店見,ได้ค่ะ เราเจอกันที่ร้านหนังสือค่ะ,"dâai khâ, rao jooe kan thîi ráan nǎng‑sǔe khâ",3
好呀（男）,ได้ครับ,dâai khráp,1
今天你有空嗎,วันนี้คุณว่างไหมครับ,wan nIi khun wâang mái khráp,1
有空，怎麼了？,ว่างค่ะ ทำไมคะ,"wâang khâ, tham‑mai khá",1
我打算去看電影,ผมจะไปดูหนังครับ,phǒm jà bpai duu nǎng khráp,1
你想一起去嗎,คุณอยากไปด้วยไหมครับ,khun yàak bpai dûai mái khráp,1
你要看甚麼電影,คุณจะดูหนังอะไรคะ,khun jà duu nǎng à‑rai khá,1
這部，你喜歡泰片嗎,นี่ครับ คุณชอบดูหนังไทยไหมครับ,"nîi khráp, khun châwp duu nǎng thai mái khráp",1
非常喜歡，一起去吧,ชอบมากค่ะ ไปดูกันค่ะ,"châwp mâak khâ, bpai duu kan khâ",1
中國,เมืองจีน,meuang jiin,4
泰國,เมืองไทย,meuang thai,4
香港,ฮ่องกง,hâwng gong,4
日本,ญี่ปุ่น,yîi-pùn,4
韓國,เกาหลี,gao-lĭi,4
英國,อังกฤษ,ang-grìt,4
美國,อเมริกา,a-mee-rI-gaa,4
你來自哪裡（男）,คุณมาจากไหนครับ,khun maa jàak nǎi khráp,4
我來自香港（男）,ผมมาจากฮ่องกงครับ,phǒm maa jàak hâwng gong khráp,4
你是哪國人（女）,คุณเป็นคนที่ไหนคะ,khun bpen khon thîi nǎi khá,4
我是泰國人（女）,ฉันเป็นคนไทยค่ะ,chǎn bpen khon thai khâ,4
不是,ไม่ใช่,mâi châi,4
沒有,ไม่มี,mâi mii,4
這本書是你的嗎,หนังสือเล่มนี้ของคุณใช่ไหม,nǎng‑sǔe lêm nIi khɔ̌ɔng khun châi mái,4
明天他會回中國,พรุ่งนี้เขาจะกลับไปจีน,phrûng‑nIi khâo jà glàp bpai jiin,4
這是甚麼,นี่คืออะไร,nîi khʉʉ à‑rai,4
我不喜歡吃小食,ผมไม่ชอบทานขนม,phǒm mâi châwp thaan khà‑nǒm,4
我的朋友從泰國回來,เพื่อนผมกลับมาจากเมืองไทย,phʉ̂e‑an phǒm glàp maa jàak meuang thai,4
你想一起吃嗎？,คุณอยากทานกันไหมครับ,khun yàak thaan kan mái khráp,4
不，我不喜歡吃小食,ไม่ครับ ผมไม่ชอบทานขนมครับ,"mâi khráp, phǒm mâi châwp thaan khà‑nǒm khráp",4
